ID,Title,Scenario,Traits,Commander,Entrepreneur,Mediator,Protector,Entropist,Logistician,,Action,Outcome,"OutcomeID, Current: 90",Turns,Prerequisites (OutcomeID),outcomesModifications
3,LGBTQ+ demonstration,LGBTQ+ supporters are demonstarting for allowing civil marriage in law.,Commander,1,0,-1,-1,0,1,-,"Refused their request and dispersed the demonstration effectively, although some civillians were injured.",A high ranking police officer had to be fired due to widespread media backlash.,19,5,C(!20&!22&!24&!26&!28&!30),
,,,Entrepreneur,-1,1,1,-1,1,-1,+,"Produced LGBTQ+ merchandise to sell at the demonstrations, then approved the bill and turned them into parties.","Made a small fortune from the merchandise, but the decision was widely disapproved in many religious communities.",20,,,"R(25,27,29)"
,,,Mediator,-1,0,-1,0,1,-1,-,Tried to convene a commitee of public religious figures to find a way to allow it with their permission.,"The public figures kept postponing the comitee in an attempt to let it be forgotten, but the demonstrations only got bigger.",21,,,
,,,Protector,1,1,-1,1,1,-1,+,"Promptly passed a bill to allow civil marriage, without any discussion with opposing parties.","The demonstraions quickly turned into parties, but every religious leader in the country harshly criticized the decision.",22,,,"R(25,27,29)"
,,,Entropist,0,0,1,1,-1,0,-,Announced a bill that allows civil marriage to be performed by the currently qualified religious figures.,"The public's misunderstanding of the situation made the demonstrations shrink, and even some opposing demonstrations started to appear.",23,,,
,,,Logistician,0,-1,1,0,-1,1,+,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,24,,,"R(25,27,29)"
4,On Wings of Doves,Thousands of Dews migrate to your country as a result of a war in another continent.,Commander,1,0,-1,-1,0,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,31,8,,
,,,Entrepreneur,-1,1,1,-1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,32,,,
,,,Mediator,-1,0,-1,0,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,33,,,
,,,Protector,1,1,-1,1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,34,,,
,,,Entropist,0,0,1,1,-1,0,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,35,,,
,,,Logistician,0,-1,1,0,-1,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,36,,,
5,The Swamp,"As the population grows, the swamp region in your country must be dried out and settled.",Commander,1,0,-1,-1,0,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,37,8,D(31|32|33|34|35|36),
,,,Entrepreneur,-1,1,1,-1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,38,,,
,,,Mediator,-1,0,-1,0,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,39,,,
,,,Protector,1,1,-1,1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,40,,,
,,,Entropist,0,0,1,1,-1,0,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,41,,,
,,,Logistician,0,-1,1,0,-1,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,42,,,
6,Rigged Oil,A large oil reserve was found in your country,Commander,1,0,-1,-1,0,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,43,8,,
,,,Entrepreneur,-1,1,1,-1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,44,,,
,,,Mediator,-1,0,-1,0,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,45,,,
,,,Protector,1,1,-1,1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,46,,,
,,,Entropist,0,0,1,1,-1,0,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,47,,,
,,,Logistician,0,-1,1,0,-1,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,48,,,
7,Shame.,A high ranking official has been accused of sexual harrassment by multiple colleagues.,Commander,1,0,-1,-1,0,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,49,8,,
,,,Entrepreneur,-1,1,1,-1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,50,,,
,,,Mediator,-1,0,-1,0,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,51,,,
,,,Protector,1,1,-1,1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,52,,,
,,,Entropist,0,0,1,1,-1,0,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,53,,,
,,,Logistician,0,-1,1,0,-1,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,54,,,
8,Douze Points!,"Following your country's win at the Eurovision, you've been chosen to host the contest this year!",Commander,1,0,-1,-1,0,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,55,8,,
,,,Entrepreneur,-1,1,1,-1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,56,,,
,,,Mediator,-1,0,-1,0,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,57,,,
,,,Protector,1,1,-1,1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,58,,,
,,,Entropist,0,0,1,1,-1,0,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,59,,,
,,,Logistician,0,-1,1,0,-1,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,60,,,
9,It's Rainin' Water,Countries around the world are asking for your revolutionary water purifying tech.,Commander,1,0,-1,-1,0,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,61,8,,
,,,Entrepreneur,-1,1,1,-1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,62,,,
,,,Mediator,-1,0,-1,0,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,63,,,
,,,Protector,1,1,-1,1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,64,,,
,,,Entropist,0,0,1,1,-1,0,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,65,,,
,,,Logistician,0,-1,1,0,-1,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,66,,,
10,White Collar Crime,One of the banks in your country collapsed because a banker embezzled funds.,Commander,1,0,-1,-1,0,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,67,8,,
,,,Entrepreneur,-1,1,1,-1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,68,,,
,,,Mediator,-1,0,-1,0,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,69,,,
,,,Protector,1,1,-1,1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,70,,,
,,,Entropist,0,0,1,1,-1,0,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,71,,,
,,,Logistician,0,-1,1,0,-1,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,72,,,
11,Teachers' Strike,It's that time of the year again - the teachers' union is striking in demand for higher salaries.,Commander,1,0,-1,-1,0,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,73,8,,
,,,Entrepreneur,-1,1,1,-1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,74,,,
,,,Mediator,-1,0,-1,0,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,75,,,
,,,Protector,1,1,-1,1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,76,,,
,,,Entropist,0,0,1,1,-1,0,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,77,,,
,,,Logistician,0,-1,1,0,-1,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,78,,,
12,Tactical Intelligence,"Themilitary has found the location of a highly wanted criminal on your country's soil, and is asking to act on it.",Commander,1,0,-1,-1,0,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,79,8,,
,,,Entrepreneur,-1,1,1,-1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,80,,,
,,,Mediator,-1,0,-1,0,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,81,,,
,,,Protector,1,1,-1,1,1,-1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,82,,,
,,,Entropist,0,0,1,1,-1,0,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,83,,,
,,,Logistician,0,-1,1,0,-1,1,,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,84,,,
13,Uh-oh.,"Due to your fallout with the U.S.B, and your defense budget cuts, your nemesis country, Iwak, has decided to nuke you.",Commander,-1,-1,-1,-1,-1,-1,-,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,85,1,D(79|80|81|82|83|84)&(73|74|75|76|77|78),
,,,Entrepreneur,-1,-1,-1,-1,-1,-1,-,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,86,,,
,,,Mediator,-1,-1,-1,-1,-1,-1,-,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,87,,,
,,,Protector,-1,-1,-1,-1,-1,-1,-,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,88,,,
,,,Entropist,-1,-1,-1,-1,-1,-1,-,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,89,,,
,,,Logistician,-1,-1,-1,-1,-1,-1,-,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,90,,,
14,Religious Demonstration,Thousands of Religious people are demonstraing against allowing civil marriage in law.,Commander,1,0,-1,-1,0,1,+,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,25,8,C(!25&!27&!29&!19&!21&!23),"R(20,22,24)"
,,,Entrepreneur,-1,1,1,-1,1,-1,-,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,26,,,
,,,Mediator,-1,0,-1,0,1,-1,+,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,27,,,"R(20,22,24)"
,,,Protector,1,1,-1,1,1,-1,-,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,28,,,
,,,Entropist,0,0,1,1,-1,0,+,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,29,,,"R(20,22,24)"
,,,Logistician,0,-1,1,0,-1,1,-,Passed the bill but burrowed it under a pile of bureaucracy.,The demonstrations died down with discontent from the underwhelming victory.,30,,,
